Category,Item,Serving Size,Calories,Calories from Fat,Total Fat,Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars,Protein,Serving Size Numeric,Serving Size Numeric Normalized
Breakfast,Egg McMuffin,4.8 oz (136 g),0.1595744680851064,0.11320754716981132,0.11016949152542373,0.1098901098901099,0.25,0.24509803921568626,0.0,0.45217391304347826,0.453125,0.20833333333333334,0.2066666666666667,0.21985815602836878,0.2127659574468085,0.5714285714285714,0.6071428571428571,0.0234375,0.1954022988505747,136.0,0.173419773095624
Breakfast,Egg White Delight,4.8 oz (135 g),0.13297872340425532,0.0660377358490566,0.06779661016949153,0.06593406593406594,0.15000000000000002,0.14705882352941177,0.0,0.043478260869565216,0.041666666666666664,0.21388888888888888,0.21333333333333335,0.2127659574468085,0.2127659574468085,0.5714285714285714,0.6071428571428571,0.0234375,0.20689655172413793,135.0,0.17179902755267423
Breakfast,Sausage McMuffin,3.9 oz (111 g),0.19680851063829788,0.18867924528301888,0.19491525423728814,0.19230769230769232,0.4,0.4117647058823529,0.0,0.0782608695652174,0.078125,0.21666666666666667,0.22,0.20567375886524822,0.2127659574468085,0.5714285714285714,0.6071428571428571,0.015625,0.16091954022988506,111.0,0.13290113452188007
Breakfast,Sausage McMuffin with Egg,5.7 oz (161 g),0.2393617021276596,0.2358490566037736,0.23728813559322035,0.23626373626373628,0.5,0.5098039215686274,0.0,0.4956521739130435,0.49479166666666663,0.2388888888888889,0.24000000000000002,0.2127659574468085,0.2127659574468085,0.5714285714285714,0.6071428571428571,0.015625,0.24137931034482757,161.0,0.21393841166936797
Breakfast,Sausage McMuffin with Egg Whites,5.7 oz (161 g),0.2127659574468085,0.19811320754716982,0.19491525423728814,0.19230769230769232,0.4,0.4117647058823529,0.0,0.08695652173913043,0.08333333333333333,0.24444444444444444,0.24666666666666667,0.2127659574468085,0.2127659574468085,0.5714285714285714,0.6071428571428571,0.015625,0.24137931034482757,161.0,0.21393841166936797
Breakfast,Steak & Egg McMuffin,6.5 oz (185 g),0.22872340425531915,0.19811320754716982,0.19491525423728814,0.19780219780219782,0.45,0.45098039215686275,0.4,0.5217391304347826,0.5208333333333333,0.26666666666666666,0.26666666666666666,0.21985815602836878,0.2127659574468085,0.5714285714285714,0.6428571428571428,0.0234375,0.29885057471264365,185.0,0.25283630470016216
Breakfast,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",5.3 oz (150 g),0.24468085106382978,0.2169811320754717,0.22033898305084745,0.2197802197802198,0.65,0.6372549019607843,0.0,0.4347826086956522,0.43229166666666663,0.3611111111111111,0.36000000000000004,0.2695035460992908,0.2765957446808511,0.2857142857142857,0.25,0.0234375,0.21839080459770116,150.0,0.1961102106969206
Breakfast,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",5.8 oz (164 g),0.2765957446808511,0.25471698113207547,0.2542372881355932,0.25824175824175827,0.7000000000000001,0.6666666666666666,0.0,0.4347826086956522,0.43229166666666663,0.39166666666666666,0.39333333333333337,0.3049645390070922,0.2978723404255319,0.42857142857142855,0.42857142857142855,0.03125,0.21839080459770116,164.0,0.21880064829821724
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",5.4 oz (153 g),0.21808510638297873,0.16981132075471697,0.1694915254237288,0.17582417582417584,0.55,0.5490196078431373,0.0,0.06086956521739131,0.057291666666666664,0.3611111111111111,0.36000000000000004,0.2553191489361702,0.2553191489361702,0.2857142857142857,0.25,0.0234375,0.22988505747126436,153.0,0.20097244732576988
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",5.9 oz (167 g),0.25,0.20754716981132076,0.211864406779661,0.2087912087912088,0.6000000000000001,0.5784313725490196,0.0,0.06086956521739131,0.057291666666666664,0.39444444444444443,0.39333333333333337,0.2978723404255319,0.2978723404255319,0.42857142857142855,0.42857142857142855,0.03125,0.22988505747126436,167.0,0.2236628849270665
Breakfast,Sausage Biscuit (Regular Biscuit),4.1 oz (117 g),0.22872340425531915,0.22641509433962265,0.2288135593220339,0.23076923076923078,0.6000000000000001,0.6078431372549019,0.0,0.052173913043478265,0.05208333333333333,0.3,0.30000000000000004,0.24113475177304963,0.23404255319148937,0.2857142857142857,0.21428571428571427,0.015625,0.12643678160919541,117.0,0.1426256077795786
Breakfast,Sausage Biscuit (Large Biscuit),4.6 oz (131 g),0.2553191489361702,0.2641509433962264,0.2627118644067797,0.26373626373626374,0.65,0.6372549019607843,0.0,0.052173913043478265,0.05208333333333333,0.33055555555555555,0.33333333333333337,0.2765957446808511,0.2765957446808511,0.42857142857142855,0.39285714285714285,0.0234375,0.12643678160919541,131.0,0.16531604538087522
Breakfast,Sausage Biscuit with Egg (Regular Biscuit),5.7 oz (163 g),0.2712765957446809,0.27358490566037735,0.2796610169491525,0.27472527472527475,0.7000000000000001,0.696078431372549,0.0,0.4347826086956522,0.43229166666666663,0.325,0.32666666666666666,0.2553191489361702,0.2553191489361702,0.2857142857142857,0.21428571428571427,0.015625,0.20689655172413793,163.0,0.21717990275526747
Breakfast,Sausage Biscuit with Egg (Large Biscuit),6.2 oz (177 g),0.30319148936170215,0.3113207547169811,0.3135593220338983,0.3131868131868132,0.75,0.7254901960784313,0.0,0.4347826086956522,0.43229166666666663,0.35555555555555557,0.35333333333333333,0.2978723404255319,0.2978723404255319,0.42857142857142855,0.39285714285714285,0.0234375,0.20689655172413793,177.0,0.23987034035656404
Breakfast,Sausage Biscuit with Egg Whites (Regular Biscuit),5.9 oz (167 g),0.24468085106382978,0.2358490566037736,0.2288135593220339,0.23076923076923078,0.6000000000000001,0.6078431372549019,0.0,0.06086956521739131,0.057291666666666664,0.3277777777777778,0.32666666666666666,0.24113475177304963,0.23404255319148937,0.2857142857142857,0.21428571428571427,0.0234375,0.20689655172413793,167.0,0.2236628849270665
Breakfast,Sausage Biscuit with Egg Whites (Large Biscuit),6.4 oz (181 g),0.2765957446808511,0.2641509433962264,0.2711864406779661,0.2692307692307693,0.65,0.6372549019607843,0.0,0.06086956521739131,0.057291666666666664,0.35833333333333334,0.36000000000000004,0.2836879432624113,0.2765957446808511,0.42857142857142855,0.39285714285714285,0.0234375,0.20689655172413793,181.0,0.2463533225283631
Breakfast,Southern Style Chicken Biscuit (Regular Biscuit),5 oz (143 g),0.21808510638297873,0.16981132075471697,0.1694915254237288,0.17032967032967034,0.4,0.4019607843137255,0.0,0.052173913043478265,0.05208333333333333,0.3277777777777778,0.32666666666666666,0.2907801418439716,0.2978723404255319,0.2857142857142857,0.21428571428571427,0.0234375,0.1954022988505747,143.0,0.1847649918962723
Breakfast,Southern Style Chicken Biscuit (Large Biscuit),5.5 oz (157 g),0.25,0.20754716981132076,0.2033898305084746,0.20329670329670332,0.45,0.4411764705882353,0.0,0.052173913043478265,0.05208333333333333,0.35833333333333334,0.36000000000000004,0.326241134751773,0.3191489361702128,0.42857142857142855,0.39285714285714285,0.03125,0.1954022988505747,157.0,0.20745542949756893
Breakfast,Steak & Egg Biscuit (Regular Biscuit),7.1 oz (201 g),0.2872340425531915,0.27358490566037735,0.2711864406779661,0.2692307692307693,0.8,0.7647058823529411,0.4,0.48695652173913045,0.484375,0.4083333333333333,0.4066666666666667,0.2695035460992908,0.2765957446808511,0.2857142857142857,0.2857142857142857,0.0234375,0.28735632183908044,201.0,0.27876823338735823
Breakfast,"Bacon, Egg & Cheese McGriddles",6.1 oz (174 g),0.24468085106382978,0.1792452830188679,0.17796610169491525,0.17582417582417584,0.45,0.43137254901960786,0.0,0.4347826086956522,0.4375,0.3472222222222222,0.3466666666666667,0.3404255319148936,0.3404255319148936,0.2857142857142857,0.3214285714285714,0.1171875,0.21839080459770116,174.0,0.23500810372771477
Breakfast,"Bacon, Egg & Cheese McGriddles with Egg Whites",6.3 oz (178 g),0.2127659574468085,0.1320754716981132,0.1271186440677966,0.13186813186813187,0.35000000000000003,0.3333333333333333,0.0,0.06086956521739131,0.057291666666666664,0.3472222222222222,0.3466666666666667,0.3333333333333333,0.3404255319148936,0.2857142857142857,0.3214285714285714,0.125,0.22988505747126436,178.0,0.24149108589951382
Breakfast,Sausage McGriddles,5 oz (141 g),0.22340425531914895,0.18867924528301888,0.1864406779661017,0.18681318681318682,0.4,0.39215686274509803,0.0,0.06086956521739131,0.057291666666666664,0.2861111111111111,0.2866666666666667,0.3120567375886525,0.3191489361702128,0.2857142857142857,0.2857142857142857,0.1171875,0.12643678160919541,141.0,0.18152350081037277
Breakfast,"Sausage, Egg & Cheese McGriddles",7.1 oz (201 g),0.2925531914893617,0.2641509433962264,0.2627118644067797,0.26373626373626374,0.6000000000000001,0.5980392156862745,0.0,0.4608695652173913,0.46354166666666663,0.36666666666666664,0.3666666666666667,0.3404255319148936,0.3404255319148936,0.2857142857142857,0.3214285714285714,0.1171875,0.22988505747126436,201.0,0.27876823338735823
Breakfast,"Sausage, Egg & Cheese McGriddles with Egg Whites",7.2 oz (205 g),0.26595744680851063,0.2169811320754717,0.22033898305084745,0.2197802197802198,0.5,0.5098039215686274,0.0,0.08695652173913043,0.08854166666666666,0.36666666666666664,0.3666666666666667,0.326241134751773,0.3191489361702128,0.2857142857142857,0.3214285714285714,0.1171875,0.24137931034482757,205.0,0.2852512155591573
Breakfast,"Bacon, Egg & Cheese Bagel",6.9 oz (197 g),0.3297872340425532,0.2641509433962264,0.2627118644067797,0.26373626373626374,0.55,0.5490196078431373,0.2,0.4782608695652174,0.47916666666666663,0.4111111111111111,0.4133333333333334,0.40425531914893614,0.40425531914893614,0.42857142857142855,0.39285714285714285,0.0546875,0.3448275862068966,197.0,0.27228525121555924
Breakfast,"Bacon, Egg & Cheese Bagel with Egg Whites",7.1 oz (201 g),0.30319148936170215,0.2169811320754717,0.211864406779661,0.2142857142857143,0.45,0.4411764705882353,0.2,0.10434782608695653,0.10416666666666666,0.4111111111111111,0.4133333333333334,0.3900709219858156,0.3829787234042553,0.42857142857142855,0.42857142857142855,0.0625,0.3448275862068966,201.0,0.27876823338735823
Breakfast,"Steak, Egg & Cheese Bagel",8.5 oz (241 g),0.35638297872340424,0.29245283018867924,0.2966101694915254,0.29120879120879123,0.65,0.6176470588235294,0.6000000000000001,0.5130434782608696,0.515625,0.41944444444444445,0.42000000000000004,0.3971631205673759,0.40425531914893614,0.42857142857142855,0.42857142857142855,0.0546875,0.3793103448275862,241.0,0.3435980551053485
Breakfast,Big Breakfast (Regular Biscuit),9.5 oz (269 g),0.39361702127659576,0.4056603773584906,0.4067796610169492,0.4010989010989011,0.8500000000000001,0.8529411764705882,0.0,0.9652173913043479,0.9635416666666666,0.43333333333333335,0.43333333333333335,0.36170212765957444,0.36170212765957444,0.42857142857142855,0.42857142857142855,0.0234375,0.3218390804597701,269.0,0.3889789303079418
Breakfast,Big Breakfast (Large Biscuit),10 oz (283 g),0.425531914893617,0.44339622641509435,0.4406779661016949,0.4395604395604396,0.9,0.8823529411764706,0.0,0.9652173913043479,0.9635416666666666,0.4666666666666667,0.4666666666666667,0.3971631205673759,0.40425531914893614,0.5714285714285714,0.6071428571428571,0.0234375,0.3218390804597701,283.0,0.41166936790923836
Breakfast,Big Breakfast with Egg Whites (Regular Biscuit),9.6 oz (272 g),0.3404255319148936,0.3113207547169811,0.3135593220338983,0.3131868131868132,0.7000000000000001,0.6764705882352942,0.0,0.06086956521739131,0.0625,0.44166666666666665,0.44,0.3546099290780142,0.36170212765957444,0.42857142857142855,0.42857142857142855,0.0234375,0.29885057471264365,272.0,0.39384116693679105
Breakfast,Big Breakfast with Egg Whites (Large Biscuit),10.1 oz (286 g),0.3670212765957447,0.3490566037735849,0.3474576271186441,0.3461538461538462,0.7000000000000001,0.7058823529411764,0.0,0.06086956521739131,0.0625,0.4722222222222222,0.4733333333333334,0.3900709219858156,0.3829787234042553,0.5714285714285714,0.6071428571428571,0.03125,0.29885057471264365,286.0,0.41653160453808763
Breakfast,Big Breakfast with Hotcakes (Regular Biscuit),14.8 oz (420 g),0.5797872340425532,0.4811320754716981,0.4745762711864407,0.47802197802197804,0.9500000000000001,0.9411764705882353,0.0,1.0,1.0,0.5972222222222222,0.6000000000000001,0.7872340425531915,0.7872340425531915,0.8571428571428571,0.8214285714285714,0.1328125,0.41379310344827586,420.0,0.633711507293355
Breakfast,Big Breakfast with Hotcakes (Large Biscuit),15.3 oz (434 g),0.6117021276595744,0.5094339622641509,0.5084745762711864,0.5109890109890111,1.0,0.9803921568627451,0.0,1.0,1.0,0.6277777777777778,0.6266666666666667,0.8226950354609929,0.8297872340425532,1.0,1.0,0.1328125,0.41379310344827586,434.0,0.6564019448946516
