Item,Dietary Fiber,Sugars,clusters
0,0,0.210938,10
0,0,0,4
0,0,0,4
0,0,0,4
0,0.142857,0.09375,9
0,0.142857,0.117188,9
0,0.142857,0.15625,9
0,0.142857,0.296875,5
0,0.142857,0.375,5
0,0.142857,0.460938,2
0,0.142857,0.296875,5
0,0.142857,0.367188,5
0,0.142857,0.453125,2
0,0.142857,0.28125,5
0,0.142857,0.351563,5
0,0.142857,0.4375,2
0,0.142857,0.09375,9
0,0.142857,0.117188,9
0,0.285714,0.15625,11
0,0.142857,0.101563,9
0,0.142857,0.125,9
0,0.142857,0.164063,9
0,0.142857,0.304688,5
0,0.142857,0.375,5
0,0.142857,0.460938,2
0,0.142857,0.296875,5
0,0.142857,0.375,5
0,0.142857,0.460938,2
0,0.142857,0.289063,5
0,0.142857,0.359375,5
0,0.142857,0.4375,2
0,0.142857,0.101563,9
0,0.142857,0.125,9
0,0.285714,0.164063,11
0,0.285714,0.328125,5
0,0.285714,0.414063,8
0,0.285714,0.492188,8
0,0.285714,0.335938,5
0,0.285714,0.414063,8
0,0.285714,0.5,8
0,0.142857,0.3125,5
0,0.142857,0.390625,5
0,0.142857,0.46875,2
0,0.142857,0.320313,5
0,0.142857,0.398438,5
0,0.142857,0.476563,2
0,0.142857,0.351563,5
0,0.142857,0.4375,2
0,0.142857,0.53125,2
0,0.142857,0.359375,5
0,0.142857,0.445313,2
0,0.142857,0.539063,2
0,0,0.171875,10
0,0,0.234375,10
0,0,0.351563,0
0,0,0.164063,10
0,0,0.21875,10
0,0,0.328125,0
0,0,0.15625,10
0,0,0.21875,10
0,0,0.320313,0
0,0,0.148438,10
0,0,0.203125,10
0,0,0.304688,0
0,0,0.0078125,4
0,0,0.015625,4
0,0,0.015625,4
0,0.142857,0.265625,5
0,0.142857,0.335938,5
0,0.285714,0.484375,8
0,0.142857,0.273438,5
0,0.142857,0.335938,5
0,0.285714,0.484375,8
0,0,0.257813,0
0,0.142857,0.320313,5
0,0.142857,0.460938,2
0,0,0.257813,0
0,0.142857,0.320313,5
0,0.142857,0.460938,2
0,0.142857,0.445313,2
0,0.142857,0.554688,2
0,0.142857,0.6875,3
0,0,0.445313,6
0,0,0.554688,6
0,0,0.6875,3
0,0.142857,0.523438,2
0,0.142857,0.632813,2
0,0.142857,0.773438,3
0,0.428571,0.34375,8
0,0.571429,0.421875,8
0,0.714286,0.546875,8
0,0.428571,0.34375,8
0,0.428571,0.421875,8
0,0.571429,0.546875,8
0,0.142857,0.359375,5
0,0.142857,0.4375,2
0,0.285714,0.5625,8
0,0,0.492188,6
0,0,0.632813,6
0,0,0.789063,3
0,0,0.617188,6
0,0,0.78125,3
0,0,0.960938,3
0,0.142857,0.601563,2
0,0.285714,0.757813,3
0,0.285714,0.9375,3
0,0,0.726563,3
0,0,0.898438,3
0,0.142857,0.695313,3
0,0.285714,1,3
0,0.142857,0.460938,2
0,0.142857,0.5,2
0,0.142857,0.664063,3
0,0.142857,0.335938,5
0,0.285714,0.804688,3
0,0.142857,0.398438,5
