Serving Size,Saturated Fat,Sodium
12 fl oz cup,8.0,180
16 fl oz cup,9.0,220
20 fl oz cup,12.0,280
12 fl oz cup,2.0,180
16 fl oz cup,2.0,220
20 fl oz cup,2.5,280
16 fl oz cup,3.0,35
22 fl oz cup,4.5,50
32 fl oz cup,6.0,75
16 fl oz cup,3.0,35
22 fl oz cup,4.5,50
32 fl oz cup,6.0,65
16 fl oz cup,3.0,35
22 fl oz cup,4.5,50
32 fl oz cup,6.0,75
16 fl oz cup,3.0,40
22 fl oz cup,4.5,55
32 fl oz cup,6.0,80
16 fl oz cup,3.0,65
22 fl oz cup,4.5,90
32 fl oz cup,6.0,135
12 fl oz cup,7.0,125
16 fl oz cup,8.0,150
22 fl oz cup,10.0,220
12 fl oz cup,3.0,125
16 fl oz cup,3.5,150
22 fl oz cup,3.5,220
12 fl oz cup,7.0,140
16 fl oz cup,7.0,170
22 fl oz cup,10.0,250
12 fl oz cup,3.0,140
16 fl oz cup,3.0,170
22 fl oz cup,3.5,250
12 fl oz cup,12.0,125
16 fl oz cup,14.0,160
22 fl oz cup,17.0,190
12 fl oz cup,12.0,125
16 fl oz cup,15.0,160
22 fl oz cup,17.0,190
12 fl oz cup,14.0,135
16 fl oz cup,17.0,160
22 fl oz cup,20.0,200
12 fl oz cup,0.0,40
16 fl oz cup,0.0,50
22 fl oz cup,0.5,65
12 fl oz cup,0.0,50
16 fl oz cup,0.0,60
22 fl oz cup,0.5,80
12 fl oz cup,0.0,40
16 fl oz cup,0.0,45
22 fl oz cup,0.5,60
12 fl oz cup,10.0,160
16 fl oz cup,12.0,200
22 fl oz cup,15.0,260
12 fl oz cup,10.0,160
16 fl oz cup,13.0,210
22 fl oz cup,15.0,260
12 fl oz cup,10.0,240
16 fl oz cup,12.0,300
22 fl oz cup,15.0,380
16 fl oz cup,12.0,210
22 fl oz cup,15.0,260
10.9 oz (310 g),14.0,180
16.2 oz (460 g),20.0,260
7.3 oz (207 g),10.0,120
10.1 oz (285 g),9.0,280
13.4 oz (381 g),12.0,380
6.7 oz (190 g),6.0,190
14.2 oz (403 g),15.0,400
7.1 oz (202 g),8.0,200
