Item,Calories,Sodium,Sugars
Ranch Snack Wrap (Crispy Chicken),0.191489,0.225,0.00198675
Ranch Snack Wrap (Grilled Chicken),0.148936,0.2,0.0013245
Small French Fries,0.12234,0.0361111,0
Medium French Fries,0.180851,0.0527778,0
Large French Fries,0.271277,0.0805556,0
Kids French Fries,0.0585106,0.0180556,0
Side Salad,0.0106383,0.00277778,0.0013245
Apple Slices,0.00797872,0,0.00198675
Fruit 'n Yogurt Parfait,0.0797872,0.0194444,0.0152318
Baked Apple Pie,0.132979,0.0472222,0.00860927
Chocolate Chip Cookie,0.0851064,0.025,0.00993377
Oatmeal Raisin Cookie,0.0797872,0.0375,0.00860927
Kids Ice Cream Cone,0.0239362,0.00555556,0.00397351
Hot Fudge Sundae,0.175532,0.0472222,0.0317881
Hot Caramel Sundae,0.180851,0.0416667,0.0284768
Strawberry Sundae,0.148936,0.0236111,0.0298013
Coca-Cola Classic (Small),0.0744681,0,0.0258278
Coca-Cola Classic (Medium),0.106383,0.00138889,0.0364238
Coca-Cola Classic (Large),0.148936,0.00138889,0.0503311
Coca-Cola Classic (Child),0.0531915,0,0.018543
Diet Coke (Small),0,0.00277778,0
Diet Coke (Medium),0,0.00555556,0
Diet Coke (Large),0,0.00972222,0
Diet Coke (Child),0,0.00416667,0
Dr Pepper (Small),0.0744681,0.0125,0.0231788
Dr Pepper (Medium),0.101064,0.0180556,0.0337748
Dr Pepper (Large),0.143617,0.025,0.0463576
Dr Pepper (Child),0.0531915,0.00833333,0.0172185
Diet Dr Pepper (Small),0,0.0194444,0
Diet Dr Pepper (Medium),0,0.0277778,0
Diet Dr Pepper (Large),0,0.0388889,0
Diet Dr Pepper (Child),0,0.0138889,0
Sprite (Small),0.0744681,0.00833333,0.0245033
Sprite (Medium),0.106383,0.0125,0.0357616
Sprite (Large),0.148936,0.0166667,0.0490066
Sprite (Child),0.0531915,0.00694444,0.0178808
1% Low Fat Milk Jug,0.0531915,0.0347222,0.00794702
Fat Free Chocolate Milk Jug,0.0691489,0.0375,0.0145695
Minute Maid 100% Apple Juice Box,0.0425532,0.00416667,0.0125828
Minute Maid Orange Juice (Small),0.0797872,0,0.0198675
Minute Maid Orange Juice (Medium),0.101064,0,0.0258278
Minute Maid Orange Juice (Large),0.148936,0.00138889,0.0384106
Dasani Water Bottle,0,0,0
Iced Tea (Small),0,0.00277778,0
Iced Tea (Medium),0,0.00277778,0
Iced Tea (Large),0,0.00416667,0
Iced Tea (Child),0,0.00138889,0
Sweet Tea (Small),0.0797872,0.00277778,0.0238411
Sweet Tea (Medium),0.0957447,0.00277778,0.0298013
Sweet Tea (Large),0.117021,0.00277778,0.0357616
Sweet Tea (Child),0.0585106,0.00138889,0.0178808
Coffee (Small),0,0,0
Coffee (Medium),0,0,0
Coffee (Large),0,0,0
Latte (Small),0.0904255,0.0319444,0.00794702
Latte (Medium),0.111702,0.0388889,0.00993377
Latte (Large),0.148936,0.05,0.013245
Caramel Latte (Small),0.143617,0.0319444,0.0251656
Caramel Latte (Medium),0.180851,0.0388889,0.0317881
Caramel Latte (Large),0.228723,0.05,0.0390728
Hazelnut Latte (Small),0.143617,0.0319444,0.0251656
Hazelnut Latte (Medium),0.175532,0.0388889,0.0311258
Hazelnut Latte (Large),0.228723,0.05,0.0384106
French Vanilla Latte (Small),0.138298,0.0319444,0.0238411
French Vanilla Latte (Medium),0.175532,0.0388889,0.0298013
French Vanilla Latte (Large),0.223404,0.0527778,0.0370861
Latte with Sugar Free French Vanilla Syrup (Small),0.111702,0.0416667,0.00794702
Latte with Sugar Free French Vanilla Syrup (Medium),0.138298,0.0527778,0.00993377
Latte with Sugar Free French Vanilla Syrup (Large),0.175532,0.0666667,0.013245
Nonfat Latte (Small),0.0531915,0.0305556,0.00860927
Nonfat Latte (Medium),0.0691489,0.0375,0.010596
Nonfat Latte (Large),0.0904255,0.05,0.0139073
Nonfat Caramel Latte (Small),0.106383,0.0305556,0.0258278
Nonfat Caramel Latte (Medium),0.132979,0.0375,0.0317881
Nonfat Caramel Latte (Large),0.164894,0.05,0.0390728
Nonfat Hazelnut Latte (Small),0.106383,0.0305556,0.0251656
Nonfat Hazelnut Latte (Medium),0.132979,0.0375,0.0317881
Nonfat Hazelnut Latte (Large),0.164894,0.05,0.0390728
Nonfat French Vanilla Latte (Small),0.101064,0.0319444,0.0245033
Nonfat French Vanilla Latte (Medium),0.12766,0.0388889,0.0304636
Nonfat French Vanilla Latte (Large),0.159574,0.05,0.0370861
Nonfat Latte with Sugar Free French Vanilla Syrup (Small),0.0744681,0.0416667,0.00860927
Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),0.0904255,0.05,0.010596
Nonfat Latte with Sugar Free French Vanilla Syrup (Large),0.117021,0.0666667,0.0139073
Mocha (Small),0.180851,0.0416667,0.0278146
Mocha (Medium),0.218085,0.0527778,0.0350993
Mocha (Large),0.265957,0.0666667,0.0417219
Mocha with Nonfat Milk (Small),0.143617,0.0416667,0.0284768
Mocha with Nonfat Milk (Medium),0.175532,0.0527778,0.0350993
Mocha with Nonfat Milk (Large),0.207447,0.0666667,0.0423841
Caramel Mocha (Small),0.170213,0.0472222,0.0264901
Caramel Mocha (Medium),0.207447,0.0611111,0.0331126
Caramel Mocha (Large),0.255319,0.075,0.0397351
Nonfat Caramel Mocha (Small),0.132979,0.0472222,0.0271523
Nonfat Caramel Mocha (Medium),0.164894,0.0583333,0.0337748
Nonfat Caramel Mocha (Large),0.196809,0.075,0.0403974
Hot Chocolate (Small),0.191489,0.05,0.0298013
Hot Chocolate (Medium),0.234043,0.0611111,0.0370861
Hot Chocolate (Large),0.287234,0.0777778,0.0450331
